genre,description
action,"A fearless agent races across the city to stop a weapons deal before an explosion destroys the harbor."
action,"A former soldier rescues hostages from a skyscraper controlled by a violent criminal gang."
action,"A martial arts champion fights through a criminal fortress to rescue his kidnapped brother."
action,"A chase across rooftops, highways, and tunnels pushes a spy team toward a final explosive showdown."
action,"A police officer battles mercenaries after a convoy ambush turns the city into a war zone."
comedy,"Two clumsy roommates start a fake business and accidentally become famous after a series of hilarious mistakes."
comedy,"A small-town baker enters a television contest and creates chaos with jokes, romance, and spilled frosting."
comedy,"An awkward teacher pretends to be a celebrity chef and causes a dinner party full of comic disasters."
comedy,"A group of friends plan a simple vacation that collapses into pranks, misunderstandings, and absurd surprises."
comedy,"A failing actor joins a corporate training video and accidentally becomes the office prank hero."
drama,"A grieving father reconnects with his daughter while facing memories of a painful family secret."
drama,"An ambitious musician struggles with love, sacrifice, and the cost of chasing success in a lonely city."
drama,"A judge returns to her hometown and confronts old wounds, family loyalty, and a difficult moral choice."
drama,"A young student cares for his sick mother while trying to escape poverty through education."
drama,"Three siblings reunite after years apart and uncover the emotional truth behind their father's silence."
horror,"A group of friends spend the night in an abandoned mansion where whispers reveal a terrifying curse."
horror,"A nurse working the night shift discovers that the hospital basement hides a supernatural presence."
horror,"A haunted mirror releases a vengeful spirit that stalks a family through nightmares and shadows."
horror,"Campers in a remote forest hear screams at midnight and discover an ancient monster beneath the lake."
horror,"A priest investigates a possession after a child's room fills with insects, voices, and chilling visions."
romance,"Two strangers meet on a delayed train and fall in love while sharing stories about their dreams."
romance,"A chef and a travel writer rediscover hope and affection during a summer in a seaside village."
romance,"Childhood friends reconnect at a wedding and realize their old letters still carry unfinished love."
romance,"A bookstore owner and a photographer build a tender relationship while saving a historic neighborhood shop."
romance,"A pianist falls for a dancer during rehearsals, and their love grows through music and forgiveness."
sci-fi,"Astronauts travel through a wormhole and encounter an alien signal that could change humanity forever."
sci-fi,"In a future ruled by machines, a young engineer builds a robot that learns the meaning of freedom."
sci-fi,"Scientists awaken on a distant planet where clones, artificial intelligence, and time loops threaten survival."
sci-fi,"A spaceship crew discovers a black hole experiment that opens portals to parallel universes."
sci-fi,"A rebel hacker fights a virtual reality empire after learning that memories can be programmed."
thriller,"A journalist uncovers a conspiracy and must escape a dangerous assassin before publishing the truth."
thriller,"A detective follows coded clues from a serial killer while the city waits in fear."
thriller,"A woman receives anonymous threats and realizes her neighbor may be part of a deadly cover-up."
thriller,"A banker trapped in a surveillance plot races to expose blackmail before his family disappears."
thriller,"An undercover witness hides in a motel while rival agents hunt for a stolen government file."
